,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
827,510200.00,241419.00,6019005515,"Census Tract 55.15, Fresno County, California"
1579,909500.00,239365.00,6037189702,"Census Tract 1897.02, Los Angeles County, California"
3341,1847000.00,238870.00,6037800506,"Census Tract 8005.06, Los Angeles County, California"
6920,1286200.00,238531.00,6083003007,"Census Tract 30.07, Santa Barbara County, California"
6288,1147300.00,238507.00,6075010200,"Census Tract 102, San Francisco County, California"
2008,1320900.00,237685.00,6037262704,"Census Tract 2627.04, Los Angeles County, California"
1625,562500.00,237135.00,6037192620,"Census Tract 1926.20, Los Angeles County, California"
6340,794000.00,237020.00,6075016300,"Census Tract 163, San Francisco County, California"
3338,1588100.00,235436.00,6037800408,"Census Tract 8004.08, Los Angeles County, California"
1751,568800.00,234639.00,6037211122,"Census Tract 2111.22, Los Angeles County, California"
5696,316100.00,232972.00,6073002708,"Census Tract 27.08, San Diego County, California"
1800,1031300.00,232304.00,6037214600,"Census Tract 2146, Los Angeles County, California"
1606,270000.00,231378.00,6037191410,"Census Tract 1914.10, Los Angeles County, California"
1607,547800.00,231188.00,6037191420,"Census Tract 1914.20, Los Angeles County, California"
6477,890600.00,230591.00,6075980200,"Census Tract 9802, San Francisco County, California"
1601,556300.00,230218.00,6037191201,"Census Tract 1912.01, Los Angeles County, California"
4089,1712600.00,228540.00,6059063007,"Census Tract 630.07, Orange County, California"
1782,744300.00,225820.00,6037212620,"Census Tract 2126.20, Los Angeles County, California"
7601,1198900.00,224577.00,6097154000,"Census Tract 1540, Sonoma County, California"
4082,1661800.00,224385.00,6059062701,"Census Tract 627.01, Orange County, California"
7142,1712700.00,223755.00,6085507301,"Census Tract 5073.01, Santa Clara County, California"
1599,483300.00,221098.00,6037191110,"Census Tract 1911.10, Los Angeles County, California"
1296,327700.00,220296.00,6037117510,"Census Tract 1175.10, Los Angeles County, California"
5764,441700.00,220085.00,6073005700,"Census Tract 57, San Diego County, California"
3582,1545300.00,219725.00,6041124200,"Census Tract 1242, Marin County, California"
1610,486400.00,219664.00,6037191620,"Census Tract 1916.20, Los Angeles County, California"
2665,329500.00,217819.00,6037502802,"Census Tract 5028.02, Los Angeles County, California"
3203,1573500.00,217713.00,6037620305,"Census Tract 6203.05, Los Angeles County, California"
7296,839300.00,217471.00,6085513500,"Census Tract 5135, Santa Clara County, California"
6370,1102300.00,216418.00,6075021300,"Census Tract 213, San Francisco County, California"
2037,859400.00,213140.00,6037267502,"Census Tract 2675.02, Los Angeles County, California"
3202,1551500.00,212717.00,6037620303,"Census Tract 6203.03, Los Angeles County, California"
1756,555600.00,212222.00,6037211410,"Census Tract 2114.10, Los Angeles County, California"
1513,830900.00,211823.00,6037143100,"Census Tract 1431, Los Angeles County, California"
5797,1462700.00,208936.00,6073008102,"Census Tract 81.02, San Diego County, California"
1524,1018500.00,208884.00,6037143902,"Census Tract 1439.02, Los Angeles County, California"
7217,1466500.00,208495.00,6085510803,"Census Tract 5108.03, Santa Clara County, California"
1369,490000.00,208454.00,6037124204,"Census Tract 1242.04, Los Angeles County, California"
154,1643100.00,207996.00,6001426100,"Census Tract 4261, Alameda County, California"
3592,1211100.00,207772.00,6041131100,"Census Tract 1311, Marin County, California"
3107,1400600.00,207161.00,6037577504,"Census Tract 5775.04, Los Angeles County, California"
1796,879000.00,205343.00,6037214400,"Census Tract 2144, Los Angeles County, California"
4351,1049300.00,205290.00,6059099506,"Census Tract 995.06, Orange County, California"
4060,1100500.00,203718.00,6059062628,"Census Tract 626.28, Orange County, California"
4053,1421700.00,202942.00,6059062619,"Census Tract 626.19, Orange County, California"
3616,518900.00,202547.00,6045011200,"Census Tract 112, Mendocino County, California"
2015,1032900.00,202525.00,6037264302,"Census Tract 2643.02, Los Angeles County, California"
4155,373300.00,202018.00,6059075004,"Census Tract 750.04, Orange County, California"
1641,477800.00,201246.00,6037195710,"Census Tract 1957.10, Los Angeles County, California"
7533,314700.00,201144.00,6097151201,"Census Tract 1512.01, Sonoma County, California"
1850,378600.00,200249.00,6037221500,"Census Tract 2215, Los Angeles County, California"
1791,650000.00,199031.00,6037213320,"Census Tract 2133.20, Los Angeles County, California"
6332,1059800.00,198876.00,6075015600,"Census Tract 156, San Francisco County, California"
7602,966800.00,198795.00,6097154100,"Census Tract 1541, Sonoma County, California"
1996,1675200.00,198109.00,6037261101,"Census Tract 2611.01, Los Angeles County, California"
1520,657900.00,197548.00,6037143604,"Census Tract 1436.04, Los Angeles County, California"
1627,1304100.00,197167.00,6037194101,"Census Tract 1941.01, Los Angeles County, California"
1519,552900.00,195929.00,6037143603,"Census Tract 1436.03, Los Angeles County, California"
1574,1246100.00,195479.00,6037189300,"Census Tract 1893, Los Angeles County, California"
6297,760300.00,194780.00,6075011100,"Census Tract 111, San Francisco County, California"
4971,251700.00,194601.00,6067001200,"Census Tract 12, Sacramento County, California"
1749,336500.00,194248.00,6037211120,"Census Tract 2111.20, Los Angeles County, California"
3590,1495100.00,193923.00,6041130201,"Census Tract 1302.01, Marin County, California"
6345,773700.00,192684.00,6075016801,"Census Tract 168.01, San Francisco County, California"
6849,754200.00,191590.00,6083001000,"Census Tract 10, Santa Barbara County, California"
5753,450000.00,190908.00,6073004600,"Census Tract 46, San Diego County, California"
1867,531300.00,190784.00,6037224310,"Census Tract 2243.10, Los Angeles County, California"
6480,619300.00,190555.00,6075980501,"Census Tract 9805.01, San Francisco County, California"
3096,415400.00,190198.00,6037576801,"Census Tract 5768.01, Los Angeles County, California"
1395,337500.00,190135.00,6037127604,"Census Tract 1276.04, Los Angeles County, California"
6336,475000.00,189423.00,6075015900,"Census Tract 159, San Francisco County, California"
1843,505400.00,188425.00,6037221210,"Census Tract 2212.10, Los Angeles County, California"
3973,704000.00,188207.00,6059042108,"Census Tract 421.08, Orange County, California"
2614,398300.00,188081.00,6037482304,"Census Tract 4823.04, Los Angeles County, California"
3200,1149300.00,186876.00,6037620201,"Census Tract 6202.01, Los Angeles County, California"
1616,782500.00,186282.00,6037191902,"Census Tract 1919.02, Los Angeles County, California"
1753,740700.00,186003.00,6037211202,"Census Tract 2112.02, Los Angeles County, California"
2443,1210900.00,185893.00,6037430200,"Census Tract 4302, Los Angeles County, California"
3503,643800.00,185809.00,6037980019,"Census Tract 9800.19, Los Angeles County, California"
4357,886600.00,185156.00,6059099513,"Census Tract 995.13, Orange County, California"
24,517600.00,185088.00,6001402800,"Census Tract 4028, Alameda County, California"
6562,398200.00,184891.00,6077004106,"Census Tract 41.06, San Joaquin County, California"
1609,682000.00,184882.00,6037191610,"Census Tract 1916.10, Los Angeles County, California"
6281,1224500.00,183652.00,6073021600,"Census Tract 216, San Diego County, California"
7232,1646700.00,183386.00,6085511707,"Census Tract 5117.07, Santa Clara County, California"
3217,1221600.00,183316.00,6037621004,"Census Tract 6210.04, Los Angeles County, California"
2005,1604800.00,182891.00,6037262501,"Census Tract 2625.01, Los Angeles County, California"
6311,375900.00,181903.00,6075012402,"Census Tract 124.02, San Francisco County, California"
3288,1515600.00,181718.00,6037700902,"Census Tract 7009.02, Los Angeles County, California"
3576,1355400.00,181284.00,6041120000,"Census Tract 1200, Marin County, California"
6981,284000.00,180593.00,6085503116,"Census Tract 5031.16, Santa Clara County, California"
3212,1340500.00,180016.00,6037620800,"Census Tract 6208, Los Angeles County, California"
6941,313300.00,178321.00,6085501501,"Census Tract 5015.01, Santa Clara County, California"
3736,996100.00,177721.00,6053011801,"Census Tract 118.01, Monterey County, California"
3584,1345500.00,176976.00,6041126100,"Census Tract 1261, Marin County, California"
3594,801800.00,176477.00,6041132200,"Census Tract 1322, Marin County, California"
4074,1461900.00,175705.00,6059062642,"Census Tract 626.42, Orange County, California"
2199,400000.00,175465.00,6037302503,"Census Tract 3025.03, Los Angeles County, California"
6369,1197500.00,174947.00,6075021200,"Census Tract 212, San Francisco County, California"
6841,1018900.00,174198.00,6083000400,"Census Tract 4, Santa Barbara County, California"
3573,1799400.00,173920.00,6041119100,"Census Tract 1191, Marin County, California"
7213,1249400.00,173609.00,6085510600,"Census Tract 5106, Santa Clara County, California"
131,796400.00,173263.00,6001422500,"Census Tract 4225, Alameda County, California"
6362,1139500.00,173014.00,6075020500,"Census Tract 205, San Francisco County, California"
1731,455000.00,172635.00,6037208802,"Census Tract 2088.02, Los Angeles County, California"
3334,828900.00,172323.00,6037800330,"Census Tract 8003.30, Los Angeles County, California"
6333,961100.00,171755.00,6075015700,"Census Tract 157, San Francisco County, California"
3303,1007800.00,171246.00,6037701802,"Census Tract 7018.02, Los Angeles County, California"
1764,519200.00,171191.00,6037211804,"Census Tract 2118.04, Los Angeles County, California"
1722,280300.00,170668.00,6037208401,"Census Tract 2084.01, Los Angeles County, California"
3480,375000.00,170420.00,6037920332,"Census Tract 9203.32, Los Angeles County, California"
3298,1539700.00,170229.00,6037701601,"Census Tract 7016.01, Los Angeles County, California"
1775,516700.00,170082.00,6037212305,"Census Tract 2123.05, Los Angeles County, California"
6335,755200.00,169859.00,6075015802,"Census Tract 158.02, San Francisco County, California"
6482,693200.00,169825.00,6075980900,"Census Tract 9809, San Francisco County, California"
6866,1104200.00,169414.00,6083001905,"Census Tract 19.05, Santa Barbara County, California"
3593,998900.00,169026.00,6041132100,"Census Tract 1321, Marin County, California"
2013,678100.00,167759.00,6037264103,"Census Tract 2641.03, Los Angeles County, California"
7068,869600.00,167508.00,6085504417,"Census Tract 5044.17, Santa Clara County, California"
1786,867600.00,167378.00,6037212900,"Census Tract 2129, Los Angeles County, California"
7868,376500.00,167158.00,6111002400,"Census Tract 24, Ventura County, California"
1645,579800.00,166495.00,6037195804,"Census Tract 1958.04, Los Angeles County, California"
1510,1337800.00,166322.00,6037141500,"Census Tract 1415, Los Angeles County, California"
5661,589000.00,166257.00,6073000202,"Census Tract 2.02, San Diego County, California"
6328,963900.00,165941.00,6075015200,"Census Tract 152, San Francisco County, California"
6377,1112700.00,165558.00,6075022702,"Census Tract 227.02, San Francisco County, California"
3423,275000.00,164991.00,6037910811,"Census Tract 9108.11, Los Angeles County, California"
6842,1157700.00,164959.00,6083000501,"Census Tract 5.01, Santa Barbara County, California"
3331,544700.00,164846.00,6037800327,"Census Tract 8003.27, Los Angeles County, California"
6993,242100.00,164824.00,6085503213,"Census Tract 5032.13, Santa Clara County, California"
2075,619600.00,164245.00,6037272302,"Census Tract 2723.02, Los Angeles County, California"
143,665800.00,164134.00,6001423602,"Census Tract 4236.02, Alameda County, California"
3224,1094300.00,163077.00,6037621326,"Census Tract 6213.26, Los Angeles County, California"
6675,843800.00,162814.00,6079013000,"Census Tract 130, San Luis Obispo County, California"
3087,200000.00,162729.00,6037576401,"Census Tract 5764.01, Los Angeles County, California"
6350,1225300.00,161778.00,6075017102,"Census Tract 171.02, San Francisco County, California"
7954,911500.00,161414.00,6111007402,"Census Tract 74.02, Ventura County, California"
6731,1447700.00,161140.00,6081605000,"Census Tract 6050, San Mateo County, California"
6295,953100.00,160947.00,6075010900,"Census Tract 109, San Francisco County, California"
6141,677500.00,160156.00,6073018300,"Census Tract 183, San Diego County, California"
4100,1665900.00,159678.00,6059063400,"Census Tract 634, Orange County, California"
6459,1055000.00,158555.00,6075045100,"Census Tract 451, San Francisco County, California"
7509,804900.00,157979.00,6097150100,"Census Tract 1501, Sonoma County, California"
578,1154200.00,157790.00,6013355112,"Census Tract 3551.12, Contra Costa County, California"
6368,1250000.00,157474.00,6075021100,"Census Tract 211, San Francisco County, California"
3990,965000.00,157428.00,6059042317,"Census Tract 423.17, Orange County, California"
4090,1108000.00,157318.00,6059063008,"Census Tract 630.08, Orange County, California"
1595,494000.00,156607.00,6037190802,"Census Tract 1908.02, Los Angeles County, California"
4076,1861800.00,156453.00,6059062644,"Census Tract 626.44, Orange County, California"
4077,1382700.00,156421.00,6059062645,"Census Tract 626.45, Orange County, California"
3305,749100.00,156050.00,6037702002,"Census Tract 7020.02, Los Angeles County, California"
6282,1691700.00,155885.00,6073021800,"Census Tract 218, San Diego County, California"
2225,386200.00,155882.00,6037311802,"Census Tract 3118.02, Los Angeles County, California"
1396,459100.00,155781.00,6037127605,"Census Tract 1276.05, Los Angeles County, California"
6320,1157200.00,154974.00,6075013000,"Census Tract 130, San Francisco County, California"
239,210000.00,154967.00,6001437701,"Census Tract 4377.01, Alameda County, California"
6837,1237000.00,154932.00,6083000103,"Census Tract 1.03, Santa Barbara County, California"
3327,1094600.00,154930.00,6037800204,"Census Tract 8002.04, Los Angeles County, California"
7211,1751600.00,154680.00,6085510400,"Census Tract 5104, Santa Clara County, California"
1384,493900.00,154477.00,6037125502,"Census Tract 1255.02, Los Angeles County, California"
3111,739000.00,154239.00,6037599000,"Census Tract 5990, Los Angeles County, California"
1738,480600.00,154187.00,6037209200,"Census Tract 2092, Los Angeles County, California"
2147,402000.00,154184.00,6037296901,"Census Tract 2969.01, Los Angeles County, California"
2258,155500.00,153938.00,6037401601,"Census Tract 4016.01, Los Angeles County, California"
2586,480400.00,153734.00,6037481101,"Census Tract 4811.01, Los Angeles County, California"
6130,759000.00,152941.00,6073017702,"Census Tract 177.02, San Diego County, California"
3332,688100.00,152768.00,6037800328,"Census Tract 8003.28, Los Angeles County, California"
1739,395000.00,152458.00,6037209300,"Census Tract 2093, Los Angeles County, California"
2022,519400.00,152313.00,6037265305,"Census Tract 2653.05, Los Angeles County, California"
1503,890600.00,151891.00,6037141102,"Census Tract 1411.02, Los Angeles County, California"
6318,926800.00,151590.00,6075012901,"Census Tract 129.01, San Francisco County, California"
2789,207100.00,151480.00,6037534405,"Census Tract 5344.05, Los Angeles County, California"
6116,1945700.00,151316.00,6073017200,"Census Tract 172, San Diego County, California"
7510,559300.00,151266.00,6097150202,"Census Tract 1502.02, Sonoma County, California"
5757,205000.00,150787.00,6073005000,"Census Tract 50, San Diego County, California"
2559,841600.00,150567.00,6037464000,"Census Tract 4640, Los Angeles County, California"
162,692400.00,149245.00,6001427900,"Census Tract 4279, Alameda County, California"
30,413000.00,148739.00,6001403501,"Census Tract 4035.01, Alameda County, California"
6213,287500.00,148250.00,6073020017,"Census Tract 200.17, San Diego County, California"
6830,794400.00,147981.00,6081613800,"Census Tract 6138, San Mateo County, California"
530,427600.00,147670.00,6013339001,"Census Tract 3390.01, Contra Costa County, California"
6118,863700.00,147465.00,6073017304,"Census Tract 173.04, San Diego County, California"
6577,350000.00,147403.00,6077004600,"Census Tract 46, San Joaquin County, California"
6363,1165500.00,147210.00,6075020600,"Census Tract 206, San Francisco County, California"
3435,150000.00,147134.00,6037920023,"Census Tract 9200.23, Los Angeles County, California"
9,483300.00,147019.00,6001400900,"Census Tract 4009, Alameda County, California"
2084,1213800.00,146701.00,6037273902,"Census Tract 2739.02, Los Angeles County, California"
6980,383800.00,146638.00,6085503115,"Census Tract 5031.15, Santa Clara County, California"
3806,644000.00,146447.00,6055201403,"Census Tract 2014.03, Napa County, California"
6844,1069900.00,146404.00,6083000600,"Census Tract 6, Santa Barbara County, California"
1653,808400.00,146287.00,6037197500,"Census Tract 1975, Los Angeles County, California"
6460,1012900.00,145916.00,6075045200,"Census Tract 452, San Francisco County, California"
7138,1415600.00,145725.00,6085507100,"Census Tract 5071, Santa Clara County, California"
2157,573100.00,145601.00,6037297601,"Census Tract 2976.01, Los Angeles County, California"
4059,508700.00,144817.00,6059062627,"Census Tract 626.27, Orange County, California"
6831,1364600.00,144445.00,6081613900,"Census Tract 6139, San Mateo County, California"
1613,493300.00,143500.00,6037191810,"Census Tract 1918.10, Los Angeles County, California"
161,724200.00,143459.00,6001427800,"Census Tract 4278, Alameda County, California"
2963,482100.00,143300.00,6037554405,"Census Tract 5544.05, Los Angeles County, California"
6334,699100.00,143158.00,6075015801,"Census Tract 158.01, San Francisco County, California"
6140,489400.00,142984.00,6073018200,"Census Tract 182, San Diego County, California"
3498,704500.00,142635.00,6037980010,"Census Tract 9800.10, Los Angeles County, California"
1702,367100.00,142610.00,6037206010,"Census Tract 2060.10, Los Angeles County, California"
3286,1075000.00,142455.00,6037700802,"Census Tract 7008.02, Los Angeles County, California"
3307,1009500.00,142323.00,6037702201,"Census Tract 7022.01, Los Angeles County, California"
3296,732500.00,142292.00,6037701501,"Census Tract 7015.01, Los Angeles County, California"
6863,307400.00,142207.00,6083001800,"Census Tract 18, Santa Barbara County, California"
1841,447200.00,142141.00,6037221110,"Census Tract 2211.10, Los Angeles County, California"
6794,609800.00,142131.00,6081610203,"Census Tract 6102.03, San Mateo County, California"
3295,717400.00,142018.00,6037701402,"Census Tract 7014.02, Los Angeles County, California"
2028,1053400.00,141342.00,6037265602,"Census Tract 2656.02, Los Angeles County, California"
1778,683600.00,141076.00,6037212420,"Census Tract 2124.20, Los Angeles County, California"
7219,1549800.00,140838.00,6085511000,"Census Tract 5110, Santa Clara County, California"
