,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
45,1008300,49700,6001404600,"Census Tract 4046, Alameda County, California"
46,1044200,59586,6001404700,"Census Tract 4047, Alameda County, California"
47,870300,56861,6001404800,"Census Tract 4048, Alameda County, California"
48,880200,43376,6001404900,"Census Tract 4049, Alameda County, California"
49,1037200,54415,6001405000,"Census Tract 4050, Alameda County, California"
50,1358800,108613,6001405100,"Census Tract 4051, Alameda County, California"
51,888900,116014,6001405200,"Census Tract 4052, Alameda County, California"
52,682000,118944,6001405301,"Census Tract 4053.01, Alameda County, California"
53,585900,307057,6001405302,"Census Tract 4053.02, Alameda County, California"
54,498800,131722,6001405401,"Census Tract 4054.01, Alameda County, California"
55,573700,199697,6001405402,"Census Tract 4054.02, Alameda County, California"
56,687900,73997,6001405500,"Census Tract 4055, Alameda County, California"
57,563200,71013,6001405600,"Census Tract 4056, Alameda County, California"
58,484900,43460,6001405700,"Census Tract 4057, Alameda County, California"
59,463300,64447,6001405800,"Census Tract 4058, Alameda County, California"
60,434000,56097,6001405901,"Census Tract 4059.01, Alameda County, California"
61,533900,48398,6001405902,"Census Tract 4059.02, Alameda County, California"
62,571400,84140,6001406000,"Census Tract 4060, Alameda County, California"
63,565500,69931,6001406100,"Census Tract 4061, Alameda County, California"
64,531500,151645,6001406201,"Census Tract 4062.01, Alameda County, California"
65,538000,106779,6001406202,"Census Tract 4062.02, Alameda County, California"
66,453500,56442,6001406300,"Census Tract 4063, Alameda County, California"
67,594700,60889,6001406400,"Census Tract 4064, Alameda County, California"
68,468800,49458,6001406500,"Census Tract 4065, Alameda County, California"
69,481200,33582,6001406601,"Census Tract 4066.01, Alameda County, California"
70,562900,43475,6001406602,"Census Tract 4066.02, Alameda County, California"
71,834200,59975,6001406700,"Census Tract 4067, Alameda County, California"
72,819500,39889,6001406800,"Census Tract 4068, Alameda County, California"
73,769200,58095,6001406900,"Census Tract 4069, Alameda County, California"
74,534800,57130,6001407000,"Census Tract 4070, Alameda County, California"
75,448100,27318,6001407101,"Census Tract 4071.01, Alameda County, California"
76,530400,52203,6001407102,"Census Tract 4071.02, Alameda County, California"
77,426000,54098,6001407200,"Census Tract 4072, Alameda County, California"
78,301500,76404,6001407300,"Census Tract 4073, Alameda County, California"
79,489600,123887,6001407400,"Census Tract 4074, Alameda County, California"
80,411100,89055,6001407500,"Census Tract 4075, Alameda County, California"
81,501000,73988,6001407600,"Census Tract 4076, Alameda County, California"
82,597200,21424,6001407700,"Census Tract 4077, Alameda County, California"
83,591900,25301,6001407800,"Census Tract 4078, Alameda County, California"
84,729500,45935,6001407900,"Census Tract 4079, Alameda County, California"
85,958400,46737,6001408000,"Census Tract 4080, Alameda County, California"
86,870900,48321,6001408100,"Census Tract 4081, Alameda County, California"
87,590200,39656,6001408200,"Census Tract 4082, Alameda County, California"
88,609200,27414,6001408300,"Census Tract 4083, Alameda County, California"
89,360000,164074,6001408400,"Census Tract 4084, Alameda County, California"
90,348600,24482,6001408500,"Census Tract 4085, Alameda County, California"
91,394200,35486,6001408600,"Census Tract 4086, Alameda County, California"
92,413800,49351,6001408700,"Census Tract 4087, Alameda County, California"
93,385200,60854,6001408800,"Census Tract 4088, Alameda County, California"
94,351500,55081,6001408900,"Census Tract 4089, Alameda County, California"
95,330600,50095,6001409000,"Census Tract 4090, Alameda County, California"
96,360100,31921,6001409100,"Census Tract 4091, Alameda County, California"
97,404000,45376,6001409200,"Census Tract 4092, Alameda County, California"
98,351400,26692,6001409300,"Census Tract 4093, Alameda County, California"
99,417800,57602,6001409400,"Census Tract 4094, Alameda County, California"
100,351200,38585,6001409500,"Census Tract 4095, Alameda County, California"
101,353300,33164,6001409600,"Census Tract 4096, Alameda County, California"
102,360600,29124,6001409700,"Census Tract 4097, Alameda County, California"
103,612200,31357,6001409800,"Census Tract 4098, Alameda County, California"
104,780900,53133,6001409900,"Census Tract 4099, Alameda County, California"
105,709100,46797,6001410000,"Census Tract 4100, Alameda County, California"
106,493300,28026,6001410100,"Census Tract 4101, Alameda County, California"
107,349200,34300,6001410200,"Census Tract 4102, Alameda County, California"
108,366400,66053,6001410300,"Census Tract 4103, Alameda County, California"
109,389400,33241,6001410400,"Census Tract 4104, Alameda County, California"
110,750000,134520,6001410500,"Census Tract 4105, Alameda County, California"
111,1028900,47127,6001420100,"Census Tract 4201, Alameda County, California"
112,780700,72438,6001420200,"Census Tract 4202, Alameda County, California"
113,665600,73071,6001420300,"Census Tract 4203, Alameda County, California"
115,887100,36558,6001420500,"Census Tract 4205, Alameda County, California"
116,1045000,58205,6001420600,"Census Tract 4206, Alameda County, California"
117,1174600,58325,6001421100,"Census Tract 4211, Alameda County, California"
118,1406500,174439,6001421200,"Census Tract 4212, Alameda County, California"
119,1127800,54048,6001421300,"Census Tract 4213, Alameda County, California"
120,1329800,107265,6001421400,"Census Tract 4214, Alameda County, California"
121,1159500,55622,6001421500,"Census Tract 4215, Alameda County, California"
122,1161100,49862,6001421600,"Census Tract 4216, Alameda County, California"
123,1025700,111618,6001421700,"Census Tract 4217, Alameda County, California"
124,983800,71301,6001421800,"Census Tract 4218, Alameda County, California"
125,851000,48172,6001421900,"Census Tract 4219, Alameda County, California"
126,815200,87580,6001422000,"Census Tract 4220, Alameda County, California"
127,845100,71433,6001422100,"Census Tract 4221, Alameda County, California"
128,822400,50177,6001422200,"Census Tract 4222, Alameda County, California"
129,948200,85087,6001422300,"Census Tract 4223, Alameda County, California"
130,806500,363478,6001422400,"Census Tract 4224, Alameda County, California"
131,923600,117191,6001422500,"Census Tract 4225, Alameda County, California"
133,1256400,444626,6001422700,"Census Tract 4227, Alameda County, California"
135,973200,333914,6001422900,"Census Tract 4229, Alameda County, California"
136,839400,108024,6001423000,"Census Tract 4230, Alameda County, California"
137,870900,46485,6001423100,"Census Tract 4231, Alameda County, California"
138,892300,104835,6001423200,"Census Tract 4232, Alameda County, California"
139,889600,39750,6001423300,"Census Tract 4233, Alameda County, California"
140,925100,87437,6001423400,"Census Tract 4234, Alameda County, California"
141,903600,91772,6001423500,"Census Tract 4235, Alameda County, California"
142,1046600,146561,6001423601,"Census Tract 4236.01, Alameda County, California"
143,592000,215279,6001423602,"Census Tract 4236.02, Alameda County, California"
144,1473700,448742,6001423700,"Census Tract 4237, Alameda County, California"
145,1736700,154586,6001423800,"Census Tract 4238, Alameda County, California"
146,1033200,107266,6001423901,"Census Tract 4239.01, Alameda County, California"
147,1045200,77755,6001423902,"Census Tract 4239.02, Alameda County, California"
148,948200,102503,6001424001,"Census Tract 4240.01, Alameda County, California"
149,763500,80398,6001424002,"Census Tract 4240.02, Alameda County, California"
150,377000,29425,6001425101,"Census Tract 4251.01, Alameda County, California"
151,498100,68571,6001425102,"Census Tract 4251.02, Alameda County, California"
152,631000,54097,6001425103,"Census Tract 4251.03, Alameda County, California"
153,528000,106577,6001425104,"Census Tract 4251.04, Alameda County, California"
155,1691600,77775,6001426200,"Census Tract 4262, Alameda County, California"
156,1045400,54632,6001427100,"Census Tract 4271, Alameda County, California"
157,747800,87711,6001427200,"Census Tract 4272, Alameda County, California"
158,815600,32659,6001427300,"Census Tract 4273, Alameda County, California"
159,623200,64082,6001427600,"Census Tract 4276, Alameda County, California"
160,684400,48339,6001427700,"Census Tract 4277, Alameda County, California"
161,976600,109153,6001427800,"Census Tract 4278, Alameda County, California"
162,1001000,132604,6001427900,"Census Tract 4279, Alameda County, California"
163,783700,122206,6001428000,"Census Tract 4280, Alameda County, California"
164,931300,37482,6001428100,"Census Tract 4281, Alameda County, California"
165,833700,42413,6001428200,"Census Tract 4282, Alameda County, California"
166,737600,35539,6001428301,"Census Tract 4283.01, Alameda County, California"
167,1037500,69212,6001428302,"Census Tract 4283.02, Alameda County, California"
168,709000,64310,6001428400,"Census Tract 4284, Alameda County, California"
169,878200,80917,6001428500,"Census Tract 4285, Alameda County, California"
170,683600,75325,6001428600,"Census Tract 4286, Alameda County, California"
171,1099400,59811,6001428700,"Census Tract 4287, Alameda County, California"
172,865800,35800,6001430101,"Census Tract 4301.01, Alameda County, California"
173,957500,36760,6001430102,"Census Tract 4301.02, Alameda County, California"
174,825000,27522,6001430200,"Census Tract 4302, Alameda County, California"
175,867900,42464,6001430300,"Census Tract 4303, Alameda County, California"
176,881900,22738,6001430400,"Census Tract 4304, Alameda County, California"
177,591700,55117,6001430500,"Census Tract 4305, Alameda County, California"
178,740500,47678,6001430600,"Census Tract 4306, Alameda County, California"
179,694500,30096,6001430700,"Census Tract 4307, Alameda County, California"
180,662800,28884,6001430800,"Census Tract 4308, Alameda County, California"
181,565200,61159,6001430900,"Census Tract 4309, Alameda County, California"
182,568100,41144,6001431000,"Census Tract 4310, Alameda County, California"
183,587700,32932,6001431100,"Census Tract 4311, Alameda County, California"
184,565100,44288,6001431200,"Census Tract 4312, Alameda County, California"
185,678000,44922,6001432100,"Census Tract 4321, Alameda County, California"
186,742100,57033,6001432200,"Census Tract 4322, Alameda County, California"
187,600200,27799,6001432300,"Census Tract 4323, Alameda County, California"
188,496600,45849,6001432400,"Census Tract 4324, Alameda County, California"
189,538800,43978,6001432501,"Census Tract 4325.01, Alameda County, California"
190,569800,30315,6001432502,"Census Tract 4325.02, Alameda County, California"
191,470000,34298,6001432600,"Census Tract 4326, Alameda County, California"
192,670400,27609,6001432700,"Census Tract 4327, Alameda County, California"
193,801400,36752,6001432800,"Census Tract 4328, Alameda County, California"
194,574500,25356,6001433000,"Census Tract 4330, Alameda County, California"
195,577000,32415,6001433102,"Census Tract 4331.02, Alameda County, California"
196,555100,61286,6001433103,"Census Tract 4331.03, Alameda County, California"
197,533500,64600,6001433104,"Census Tract 4331.04, Alameda County, California"
198,543900,45930,6001433200,"Census Tract 4332, Alameda County, California"
199,578600,26554,6001433300,"Census Tract 4333, Alameda County, California"
200,580100,54717,6001433400,"Census Tract 4334, Alameda County, California"
201,584500,23378,6001433500,"Census Tract 4335, Alameda County, California"
202,552200,68791,6001433600,"Census Tract 4336, Alameda County, California"
203,536100,55293,6001433700,"Census Tract 4337, Alameda County, California"
204,520500,53630,6001433800,"Census Tract 4338, Alameda County, California"
205,490700,71955,6001433900,"Census Tract 4339, Alameda County, California"
206,447500,59332,6001434000,"Census Tract 4340, Alameda County, California"
207,789800,38681,6001435102,"Census Tract 4351.02, Alameda County, California"
208,963500,56280,6001435103,"Census Tract 4351.03, Alameda County, California"
209,622000,79090,6001435104,"Census Tract 4351.04, Alameda County, California"
210,614000,29244,6001435200,"Census Tract 4352, Alameda County, California"
211,543000,51906,6001435300,"Census Tract 4353, Alameda County, California"
212,508000,77150,6001435400,"Census Tract 4354, Alameda County, California"
213,543400,70318,6001435500,"Census Tract 4355, Alameda County, California"
214,479700,63477,6001435601,"Census Tract 4356.01, Alameda County, California"
215,505600,80127,6001435602,"Census Tract 4356.02, Alameda County, California"
216,573800,32202,6001435700,"Census Tract 4357, Alameda County, California"
217,554000,29664,6001435800,"Census Tract 4358, Alameda County, California"
218,599600,18079,6001435900,"Census Tract 4359, Alameda County, California"
219,592700,22831,6001436000,"Census Tract 4360, Alameda County, California"
220,597900,21631,6001436100,"Census Tract 4361, Alameda County, California"
221,452600,89780,6001436200,"Census Tract 4362, Alameda County, California"
222,614100,19985,6001436300,"Census Tract 4363, Alameda County, California"
223,612700,28847,6001436401,"Census Tract 4364.01, Alameda County, California"
224,762100,69328,6001436402,"Census Tract 4364.02, Alameda County, California"
225,524900,63914,6001436500,"Census Tract 4365, Alameda County, California"
226,516700,73591,6001436601,"Census Tract 4366.01, Alameda County, California"
227,591900,50068,6001436602,"Census Tract 4366.02, Alameda County, California"
228,544100,59528,6001436700,"Census Tract 4367, Alameda County, California"
229,565400,33360,6001436800,"Census Tract 4368, Alameda County, California"
230,577600,35018,6001436900,"Census Tract 4369, Alameda County, California"
231,533100,41521,6001437000,"Census Tract 4370, Alameda County, California"
232,667800,47189,6001437101,"Census Tract 4371.01, Alameda County, California"
233,473600,27538,6001437102,"Census Tract 4371.02, Alameda County, California"
234,625000,41719,6001437200,"Census Tract 4372, Alameda County, California"
235,574300,27359,6001437300,"Census Tract 4373, Alameda County, California"
236,556500,25810,6001437400,"Census Tract 4374, Alameda County, California"
237,570700,42206,6001437500,"Census Tract 4375, Alameda County, California"
238,561400,31420,6001437600,"Census Tract 4376, Alameda County, California"
239,435600,27250,6001437701,"Census Tract 4377.01, Alameda County, California"
240,460700,151380,6001437702,"Census Tract 4377.02, Alameda County, California"
241,596600,38097,6001437800,"Census Tract 4378, Alameda County, California"
242,518900,67791,6001437900,"Census Tract 4379, Alameda County, California"
243,651700,22237,6001438000,"Census Tract 4380, Alameda County, California"
244,646600,39360,6001438100,"Census Tract 4381, Alameda County, California"
245,389000,107683,6001438201,"Census Tract 4382.01, Alameda County, California"
246,517900,60255,6001438203,"Census Tract 4382.03, Alameda County, California"
247,306200,115979,6001438204,"Census Tract 4382.04, Alameda County, California"
248,512900,45644,6001438300,"Census Tract 4383, Alameda County, California"
249,518600,50159,6001438400,"Census Tract 4384, Alameda County, California"
250,561300,63070,6001440100,"Census Tract 4401, Alameda County, California"
251,617500,51045,6001440200,"Census Tract 4402, Alameda County, California"
252,739200,84061,6001440301,"Census Tract 4403.01, Alameda County, California"
253,702200,50207,6001440304,"Census Tract 4403.04, Alameda County, California"
254,809100,30296,6001440305,"Census Tract 4403.05, Alameda County, California"
255,602600,36933,6001440306,"Census Tract 4403.06, Alameda County, California"
256,312500,124263,6001440307,"Census Tract 4403.07, Alameda County, California"
257,728400,49262,6001440308,"Census Tract 4403.08, Alameda County, California"
258,791300,96669,6001440331,"Census Tract 4403.31, Alameda County, California"
259,990700,49160,6001440332,"Census Tract 4403.32, Alameda County, California"
260,858700,31081,6001440333,"Census Tract 4403.33, Alameda County, California"
261,732400,59644,6001440334,"Census Tract 4403.34, Alameda County, California"
262,886900,40405,6001440335,"Census Tract 4403.35, Alameda County, California"
263,739800,71069,6001440336,"Census Tract 4403.36, Alameda County, California"
264,864000,39412,6001441100,"Census Tract 4411, Alameda County, California"
265,898000,71779,6001441200,"Census Tract 4412, Alameda County, California"
266,1108600,126206,6001441301,"Census Tract 4413.01, Alameda County, California"
267,998200,54295,6001441302,"Census Tract 4413.02, Alameda County, California"
268,913300,70707,6001441401,"Census Tract 4414.01, Alameda County, California"
269,943200,41533,6001441402,"Census Tract 4414.02, Alameda County, California"
270,876200,23966,6001441501,"Census Tract 4415.01, Alameda County, California"
271,959600,48834,6001441503,"Census Tract 4415.03, Alameda County, California"
272,937700,41768,6001441521,"Census Tract 4415.21, Alameda County, California"
273,830600,40938,6001441522,"Census Tract 4415.22, Alameda County, California"
274,694100,48539,6001441523,"Census Tract 4415.23, Alameda County, California"
275,965900,59838,6001441524,"Census Tract 4415.24, Alameda County, California"
276,811500,46515,6001441601,"Census Tract 4416.01, Alameda County, California"
277,841000,46148,6001441602,"Census Tract 4416.02, Alameda County, California"
278,718500,66085,6001441700,"Census Tract 4417, Alameda County, California"
279,857300,32040,6001441800,"Census Tract 4418, Alameda County, California"
280,691500,47451,6001441921,"Census Tract 4419.21, Alameda County, California"
281,683500,156815,6001441923,"Census Tract 4419.23, Alameda County, California"
282,809800,49437,6001441924,"Census Tract 4419.24, Alameda County, California"
283,563100,179786,6001441925,"Census Tract 4419.25, Alameda County, California"
284,701900,71108,6001441926,"Census Tract 4419.26, Alameda County, California"
285,767100,59234,6001441927,"Census Tract 4419.27, Alameda County, California"
286,1651400,97252,6001442000,"Census Tract 4420, Alameda County, California"
287,1226700,85590,6001442100,"Census Tract 4421, Alameda County, California"
288,1452600,137003,6001442200,"Census Tract 4422, Alameda County, California"
289,861500,70291,6001442301,"Census Tract 4423.01, Alameda County, California"
290,823200,44580,6001442302,"Census Tract 4423.02, Alameda County, California"
291,787400,35974,6001442400,"Census Tract 4424, Alameda County, California"
292,799500,52659,6001442500,"Census Tract 4425, Alameda County, California"
293,934600,38190,6001442601,"Census Tract 4426.01, Alameda County, California"
294,974200,68274,6001442602,"Census Tract 4426.02, Alameda County, California"
295,892200,46764,6001442700,"Census Tract 4427, Alameda County, California"
296,733400,45720,6001442800,"Census Tract 4428, Alameda County, California"
297,806200,44930,6001442900,"Census Tract 4429, Alameda County, California"
298,808800,45309,6001443001,"Census Tract 4430.01, Alameda County, California"
299,858500,36637,6001443002,"Census Tract 4430.02, Alameda County, California"
300,1381200,94523,6001443102,"Census Tract 4431.02, Alameda County, California"
301,1921100,139090,6001443103,"Census Tract 4431.03, Alameda County, California"
302,1422300,143897,6001443104,"Census Tract 4431.04, Alameda County, California"
303,1507700,99706,6001443105,"Census Tract 4431.05, Alameda County, California"
305,1151400,50416,6001443301,"Census Tract 4433.01, Alameda County, California"
306,677000,42873,6001443321,"Census Tract 4433.21, Alameda County, California"
307,1180100,35981,6001443322,"Census Tract 4433.22, Alameda County, California"
308,784800,56225,6001444100,"Census Tract 4441, Alameda County, California"
309,683300,28879,6001444200,"Census Tract 4442, Alameda County, California"
310,845800,56447,6001444301,"Census Tract 4443.01, Alameda County, California"
311,780900,100269,6001444302,"Census Tract 4443.02, Alameda County, California"
312,626500,55748,6001444400,"Census Tract 4444, Alameda County, California"
313,740700,59860,6001444500,"Census Tract 4445, Alameda County, California"
314,840100,24756,6001444601,"Census Tract 4446.01, Alameda County, California"
315,598400,39275,6001444602,"Census Tract 4446.02, Alameda County, California"
316,678400,30848,6001450101,"Census Tract 4501.01, Alameda County, California"
317,932500,36342,6001450102,"Census Tract 4501.02, Alameda County, California"
318,640200,46350,6001450200,"Census Tract 4502, Alameda County, California"
319,722800,34701,6001450300,"Census Tract 4503, Alameda County, California"
320,728000,49063,6001450400,"Census Tract 4504, Alameda County, California"
321,789800,36313,6001450501,"Census Tract 4505.01, Alameda County, California"
322,1052800,52013,6001450502,"Census Tract 4505.02, Alameda County, California"
323,1232600,318064,6001450601,"Census Tract 4506.01, Alameda County, California"
324,978200,44688,6001450602,"Census Tract 4506.02, Alameda County, California"
325,872400,17399,6001450603,"Census Tract 4506.03, Alameda County, California"
326,1079100,33351,6001450604,"Census Tract 4506.04, Alameda County, California"
327,951100,41622,6001450605,"Census Tract 4506.05, Alameda County, California"
328,1089600,29592,6001450606,"Census Tract 4506.06, Alameda County, California"
329,1085900,127913,6001450607,"Census Tract 4506.07, Alameda County, California"
330,1681500,109090,6001450701,"Census Tract 4507.01, Alameda County, California"
331,1002400,77692,6001450741,"Census Tract 4507.41, Alameda County, California"
332,832100,66074,6001450742,"Census Tract 4507.42, Alameda County, California"
333,797900,71938,6001450743,"Census Tract 4507.43, Alameda County, California"
334,932500,34851,6001450744,"Census Tract 4507.44, Alameda County, California"
335,951900,37552,6001450745,"Census Tract 4507.45, Alameda County, California"
336,866100,24229,6001450746,"Census Tract 4507.46, Alameda County, California"
337,645900,22472,6001450750,"Census Tract 4507.50, Alameda County, California"
338,1048200,33799,6001450751,"Census Tract 4507.51, Alameda County, California"
339,1210200,53288,6001450752,"Census Tract 4507.52, Alameda County, California"
340,874500,60359,6001451101,"Census Tract 4511.01, Alameda County, California"
341,1226800,48863,6001451102,"Census Tract 4511.02, Alameda County, California"
342,641600,28317,6001451201,"Census Tract 4512.01, Alameda County, California"
343,657900,17305,6001451202,"Census Tract 4512.02, Alameda County, California"
344,673900,34949,6001451300,"Census Tract 4513, Alameda County, California"
345,779200,60501,6001451401,"Census Tract 4514.01, Alameda County, California"
346,655000,21767,6001451403,"Census Tract 4514.03, Alameda County, California"
347,605800,33682,6001451404,"Census Tract 4514.04, Alameda County, California"
348,925300,81092,6001451501,"Census Tract 4515.01, Alameda County, California"
349,677600,27883,6001451503,"Census Tract 4515.03, Alameda County, California"
350,762300,71846,6001451504,"Census Tract 4515.04, Alameda County, California"
351,831400,29345,6001451505,"Census Tract 4515.05, Alameda County, California"
352,753000,69216,6001451506,"Census Tract 4515.06, Alameda County, California"
353,1022700,57897,6001451601,"Census Tract 4516.01, Alameda County, California"
354,726100,65537,6001451602,"Census Tract 4516.02, Alameda County, California"
355,666400,21875,6001451701,"Census Tract 4517.01, Alameda County, California"
356,845200,46222,6001451703,"Census Tract 4517.03, Alameda County, California"
357,815700,35035,6001451704,"Census Tract 4517.04, Alameda County, California"
359,480000,177242,6001982000,"Census Tract 9820, Alameda County, California"
360,778300,77423,6001983200,"Census Tract 9832, Alameda County, California"
362,365300,35223,6003010000,"Census Tract 100, Alpine County, California"
363,271900,19548,6005000101,"Census Tract 1.01, Amador County, California"
364,275000,34232,6005000102,"Census Tract 1.02, Amador County, California"
365,376300,38922,6005000200,"Census Tract 2, Amador County, California"
366,410800,59311,6005000301,"Census Tract 3.01, Amador County, California"
367,318100,21949,6005000303,"Census Tract 3.03, Amador County, California"
368,286000,26372,6005000304,"Census Tract 3.04, Amador County, California"
369,313600,31609,6005000401,"Census Tract 4.01, Amador County, California"
370,321500,27501,6005000402,"Census Tract 4.02, Amador County, California"
371,322800,24736,6005000500,"Census Tract 5, Amador County, California"
372,268700,16687,6007000102,"Census Tract 1.02, Butte County, California"
373,337800,20643,6007000103,"Census Tract 1.03, Butte County, California"
374,323000,19648,6007000104,"Census Tract 1.04, Butte County, California"
375,290100,33373,6007000201,"Census Tract 2.01, Butte County, California"
376,214200,22259,6007000202,"Census Tract 2.02, Butte County, California"
377,262900,35160,6007000300,"Census Tract 3, Butte County, California"
378,432900,32498,6007000401,"Census Tract 4.01, Butte County, California"
379,366800,24072,6007000402,"Census Tract 4.02, Butte County, California"
380,418200,26964,6007000501,"Census Tract 5.01, Butte County, California"
381,279700,34246,6007000502,"Census Tract 5.02, Butte County, California"
382,333000,18627,6007000601,"Census Tract 6.01, Butte County, California"
383,364400,28862,6007000603,"Census Tract 6.03, Butte County, California"
384,341000,29216,6007000604,"Census Tract 6.04, Butte County, California"
385,288300,36750,6007000700,"Census Tract 7, Butte County, California"
386,366700,25794,6007000800,"Census Tract 8, Butte County, California"
387,398300,29864,6007000901,"Census Tract 9.01, Butte County, California"
388,276900,9865,6007000903,"Census Tract 9.03, Butte County, California"
389,396100,44503,6007000904,"Census Tract 9.04, Butte County, California"
390,260100,42296,6007001000,"Census Tract 10, Butte County, California"
391,270100,56770,6007001100,"Census Tract 11, Butte County, California"
392,283100,37798,6007001200,"Census Tract 12, Butte County, California"
393,201500,26945,6007001300,"Census Tract 13, Butte County, California"
394,492700,43405,6007001400,"Census Tract 14, Butte County, California"
395,492400,66968,6007001500,"Census Tract 15, Butte County, California"
396,451300,49924,6007001600,"Census Tract 16, Butte County, California"
397,177600,11896,6007001702,"Census Tract 17.02, Butte County, California"
398,175900,18287,6007001703,"Census Tract 17.03, Butte County, California"
399,181600,37976,6007001704,"Census Tract 17.04, Butte County, California"
400,191100,30575,6007001800,"Census Tract 18, Butte County, California"
401,255100,27578,6007001900,"Census Tract 19, Butte County, California"
402,230900,33996,6007002000,"Census Tract 20, Butte County, California"
403,211200,34075,6007002100,"Census Tract 21, Butte County, California"
404,281700,39823,6007002200,"Census Tract 22, Butte County, California"
405,223400,19810,6007002300,"Census Tract 23, Butte County, California"
406,220800,14842,6007002400,"Census Tract 24, Butte County, California"
407,210400,21180,6007002500,"Census Tract 25, Butte County, California"
408,265500,28816,6007002601,"Census Tract 26.01, Butte County, California"
409,197800,24145,6007002602,"Census Tract 26.02, Butte County, California"
410,210200,30992,6007002700,"Census Tract 27, Butte County, California"
411,153000,21376,6007002800,"Census Tract 28, Butte County, California"
412,187200,25017,6007002900,"Census Tract 29, Butte County, California"
413,96300,48324,6007003001,"Census Tract 30.01, Butte County, California"
414,143100,15283,6007003002,"Census Tract 30.02, Butte County, California"
415,234000,32902,6007003100,"Census Tract 31, Butte County, California"
416,188700,41402,6007003200,"Census Tract 32, Butte County, California"
417,276800,20098,6007003300,"Census Tract 33, Butte County, California"
418,275500,34362,6007003400,"Census Tract 34, Butte County, California"
419,262600,26795,6007003501,"Census Tract 35.01, Butte County, California"
420,185900,24546,6007003502,"Census Tract 35.02, Butte County, California"
421,241000,16107,6007003600,"Census Tract 36, Butte County, California"
422,164000,11306,6007003700,"Census Tract 37, Butte County, California"
423,336400,29794,6009000120,"Census Tract 1.20, Calaveras County, California"
424,371500,36814,6009000121,"Census Tract 1.21, Calaveras County, California"
425,305700,38971,6009000122,"Census Tract 1.22, Calaveras County, California"
426,370900,25789,6009000210,"Census Tract 2.10, Calaveras County, California"
427,283300,21335,6009000220,"Census Tract 2.20, Calaveras County, California"
428,265700,44295,6009000300,"Census Tract 3, Calaveras County, California"
429,243300,23887,6009000400,"Census Tract 4, Calaveras County, California"
430,331600,27610,6009000501,"Census Tract 5.01, Calaveras County, California"
431,304900,54355,6009000503,"Census Tract 5.03, Calaveras County, California"
432,289600,63853,6009000504,"Census Tract 5.04, Calaveras County, California"
433,301800,28637,6011000100,"Census Tract 1, Colusa County, California"
