CensusTract,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
6001401100,Alameda,1,4156,2007,0,150,0.0360924,0,0,0,0,0,1,15.2,71726,0,0,0,0,0,0,0,0,0.0,301.4086939,0.0,0.0,103.6008497,0.0,301.4086939,103.6008497,131.0256947,94.63398889,27.49972272,0.419452429,1.848098874,45.98174519,43.88189252,19.17995877,7.49502105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318,2152,1009,454,10,35,496,522,438,116
6001401200,Alameda,1,2416,1216,0,46,0.0190397,0,0,0,0,0,0,7.9,116667,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480,1510,429,235,4,10,228,226,232,91
6001401300,Alameda,1,3528,1632,0,580,0.1643991,0,0,0,0,0,1,34.4,42212,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953,1060,1292,674,17,27,458,488,663,190
6001401400,Alameda,1,4314,1396,0,508,0.1177561,0,0,0,0,0,1,41.7,30200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876,792,2138,429,6,53,896,911,465,377
6001401500,Alameda,1,2630,940,0,415,0.1577947,0,0,0,0,0,1,22.9,49148,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011,683,1413,185,17,10,322,406,288,116
6001401600,Alameda,1,2163,765,0,57,0.0263523,0,0,0,0,0,1,40.2,31779,0,0,0,0,0,0,0,0,0.0,1.322274923,0.0,0.0,0.899629951,0.0,1.322274923,0.899629951,0.0,0.440758318,0.440758318,0.0,0.0,0.440758318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269,446,1027,260,3,48,379,449,240,141
6001401700,Alameda,1,2667,1033,0,107,0.04012,1,1,1,0,0,1,22.8,52050,1,1,1,1,1,0,0,0,948.6674619,1647.756889,948.6674619,452.30304,781.1938865,452.30304,1647.756889,781.1938865,491.3209197,635.3835489,161.0307466,8.000000271,17.99999949,334.021673,371.0524971,86.43893015,59.47050909,948.6674619,452.30304,276.3602239,394.4785201,88.53371184,7.955122659,6.669282589,174.6706024,201.7806658,50.32879927,34.75727161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071,889,908,271,9,38,552,683,180,116
6001401800,Alameda,1,1703,637,0,1,0.0005872,1,1,1,1,1,1,31.8,28309,1,1,1,1,1,0,0,1,1382.552443,1703.000004,1382.552443,888.9770799,1054.912939,888.9770799,1703.000004,1054.912939,300.9999982,992.9999966,52.99999972,7.000000045,11.00000041,337.9999998,329.0000026,211.2700776,133.957352,1382.552443,888.9770799,222.4275211,821.0171361,51.72094366,6.607866093,6.823993739,273.9549766,268.5258384,190.1351192,109.9836784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076,301,993,53,7,11,338,329,221,143
6001402200,Alameda,1,2385,849,0,15,0.0062893,1,1,1,1,1,1,26.6,39583,1,1,1,1,1,0,0,1,1065.50725,2385.000011,1065.50725,568.4733125,1331.649303,568.4733125,2385.000011,1331.649303,553.0000023,895.9999975,283.0000005,2.00000003,15.0,636.0000017,720.0000012,214.2846704,140.2450113,1065.50725,568.4733125,299.1839041,291.3646344,109.3576187,1.009321928,10.0093219,354.5824513,442.585881,66.78969534,60.35209354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379,553,896,283,2,15,636,720,221,149
6001402400,Alameda,1,2351,1028,0,22,0.0093577,0,0,0,0,0,1,29.5,30833,0,0,0,0,0,0,0,0,0.0,198.3185857,0.0,0.0,111.4890197,0.0,198.3185857,111.4890197,15.23069004,142.3920634,13.42974569,0.0,6.256914128,21.00918054,16.01821534,22.9181769,17.31724248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724,366,1371,329,6,12,267,220,399,215
6001402500,Alameda,1,1784,673,0,2,0.0011211,0,1,0,1,1,1,49.7,19891,0,1,0,1,0,0,0,1,0.0,1751.143024,0.0,0.0,1143.149523,0.0,1751.143024,1143.149523,154.8464705,1177.041025,291.4811829,0.0,9.532543585,118.2417974,78.55572283,273.4293193,251.6869198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352,156,1201,297,0,10,120,81,315,270
6001402600,Alameda,1,1151,618,0,3,0.0026064,0,0,0,0,0,1,34.9,19877,0,0,0,0,0,0,0,0,0.0,53.32311785,0.0,0.0,34.71962166,0.0,53.32311785,34.71962166,1.658941444,9.005682126,40.99955282,0.947966539,0.47398327,0.236991635,0.236991635,16.65501937,2.445842016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670,145,346,581,4,4,71,66,286,42
6001402700,Alameda,1,1569,604,0,5,0.0031867,0,0,0,0,0,1,25.3,47847,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796,292,894,163,0,8,212,243,246,169
6001402800,Alameda,1,3345,2025,0,311,0.0929746,0,0,0,0,0,1,42.2,38571,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,891,1395,714,14,26,305,276,1048,154
6001402900,Alameda,1,1434,921,0,80,0.055788,0,0,0,0,0,1,26.5,30833,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,395,295,623,4,5,112,137,534,69
6001403000,Alameda,1,2788,1500,0,92,0.0329986,0,0,0,0,0,1,30.2,29966,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536,130,126,2472,1,4,55,36,787,69
6001403100,Alameda,1,2238,701,0,985,0.4401251,0,0,0,0,0,1,27.6,76563,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,560,687,756,5,5,225,321,240,24
6001403300,Alameda,1,4054,2054,0,47,0.0115935,0,0,0,0,0,1,21.7,66574,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307,1143,471,2194,5,10,231,242,509,67
6001403400,Alameda,1,4146,2713,0,31,0.0074771,0,0,0,0,0,1,15.9,41845,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992,1521,844,1352,13,17,399,387,1081,100
6001403501,Alameda,1,4374,2547,0,33,0.0075446,0,0,0,0,0,1,25.4,34146,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191,1560,1252,1044,12,23,483,440,671,118
6001403502,Alameda,1,1991,1171,0,18,0.0090407,0,0,0,0,0,1,19.8,75292,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575,978,540,217,3,13,240,242,204,71
6001403600,Alameda,1,4482,2542,0,163,0.0363677,0,0,0,0,0,1,9.5,61991,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003,1707,1724,559,7,17,468,436,224,130
6001403701,Alameda,1,2587,1686,0,54,0.0208736,0,0,0,0,0,1,10.3,73750,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,1396,560,360,1,15,255,236,522,43
6001403702,Alameda,1,1724,1093,0,0,0.0,0,0,0,0,0,0,6.8,98750,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,1040,318,173,5,13,175,149,180,42
6001403800,Alameda,1,3461,1858,0,16,0.0046229,0,0,0,0,0,0,5.1,124063,0,1,0,1,0,0,0,0,0.0,547.015742,0.0,0.0,53.64550978,0.0,547.015742,53.64550978,408.0237156,41.5103294,54.93657678,3.0,0.000820425,39.544292,30.71072228,7.947739819,4.555518814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,2315,339,470,3,12,322,290,92,39
6001403900,Alameda,1,3584,2087,0,35,0.0097656,0,0,0,0,0,1,8.6,69375,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953,2137,595,485,8,24,335,323,191,43
6001404000,Alameda,1,2819,1702,0,0,0.0,0,0,0,0,0,0,10.8,103846,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539,1796,416,329,5,10,263,304,214,17
6001404101,Alameda,1,2929,1644,0,6,0.0020485,0,0,0,0,0,0,8.4,113750,0,0,0,0,0,0,0,0,0.0,17.54938129,0.0,0.0,2.276606206,0.0,17.54938129,2.276606206,14.22948298,0.04751209,1.663917253,0.0,0.0,1.608469145,2.018103249,2.156796808,0.167583391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533,2140,185,342,5,5,252,274,303,30
6001404102,Alameda,1,2283,1544,0,127,0.0556286,0,0,0,0,0,0,14.0,112841,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455,1621,186,306,4,7,159,149,279,0
6001404200,Alameda,1,3483,1367,0,158,0.0453632,0,0,0,0,0,0,4.1,175446,1,1,1,1,1,0,0,0,1492.633774,3167.361334,1492.633774,90.79120403,229.2177182,90.79120403,3167.361334,229.2177182,2460.435134,145.5903532,346.7955993,2.000000045,13.94580633,198.5944384,161.8774366,44.58731594,5.760792641,1492.633774,90.79120403,1151.106151,75.57559413,170.637552,1.711754128,6.702852249,86.89988377,59.42027768,9.478205811,2.769878944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,2656,178,405,2,15,227,187,50,6
6001404300,Alameda,1,3218,1337,0,3,0.0009323,0,0,0,0,0,0,2.4,193839,0,1,0,1,0,0,0,0,215.3695458,2098.159693,215.3695458,1.055733066,126.7459735,1.055733066,2098.159693,126.7459735,1589.30984,100.4187477,257.2589999,0.0,6.26314652,144.9089571,95.62132611,12.34123974,0.0,215.3695458,1.055733066,142.1117692,15.88917393,48.28547286,0.0,0.0,9.083124293,12.56867579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,2467,144,379,0,10,218,170,37,0
6001404400,Alameda,1,5314,2279,0,0,0.0,0,0,0,0,0,0,4.5,166071,1,1,1,1,1,0,0,0,2476.743281,4994.732485,2476.743281,173.1864072,356.6277082,173.1864072,4994.732485,356.6277082,3539.300632,250.6922003,804.8125036,7.000000219,13.3808092,379.5463484,333.0611123,30.90997462,8.732673646,2476.743281,173.1864072,1622.492119,173.8360719,493.2069752,3.985601245,3.215690403,180.0068231,175.7894111,15.36561771,4.628160007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389,3788,261,832,7,14,412,355,37,9
