,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
3561,6001401100,California,Alameda County,1,4156,2007,0,150.0,3.61,0,0,0,0,1,0,13.0,114615.0,0,1,0,1,0,0,0,1,,3607.0,,,1015.0,,3607.0,1015.0,1851.0,905.0,377.0,10.0,31.0,433.0,442.0,378.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.0,2152.0,1009.0,454.0,10.0,35.0,496.0,522.0,452.0,61.0
3562,6001401200,California,Alameda County,1,2416,1216,0,46.0,1.9,0,0,0,0,0,0,9.1,118700.0,0,1,0,1,0,0,0,0,,593.0,,,130.0,,593.0,130.0,367.0,114.0,49.0,1.0,3.0,60.0,60.0,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,1510.0,429.0,235.0,4.0,10.0,228.0,226.0,100.0,35.0
3563,6001401300,California,Alameda County,1,3528,1632,0,580.0,16.44,0,0,0,0,0,1,25.6,88750.0,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.0,1060.0,1292.0,674.0,17.0,27.0,458.0,488.0,601.0,239.0
3564,6001401400,California,Alameda County,1,4314,1396,0,508.0,11.78,0,0,0,0,0,1,28.6,35625.0,0,0,0,0,0,0,0,0,,125.0,,,64.0,,125.0,64.0,22.0,88.0,2.0,0.0,1.0,11.0,15.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541.0,792.0,2138.0,429.0,6.0,53.0,896.0,911.0,429.0,174.0
3565,6001401500,California,Alameda County,1,2630,940,0,415.0,15.78,0,0,0,0,0,1,18.4,68182.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.0,683.0,1413.0,185.0,17.0,10.0,322.0,406.0,347.0,126.0
3566,6001401600,California,Alameda County,1,2163,765,0,57.0,2.64,0,0,0,0,0,1,25.3,46250.0,0,0,0,0,0,0,0,0,,1.0,,,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0,446.0,1027.0,260.0,3.0,48.0,379.0,449.0,157.0,184.0
3567,6001401700,California,Alameda County,1,2667,1033,0,107.0,4.01,1,1,1,0,0,1,16.0,67500.0,1,1,1,1,1,0,0,0,947.0,1648.0,947.0,278.0,506.0,278.0,1648.0,506.0,491.0,635.0,161.0,8.0,18.0,334.0,371.0,68.0,25.0,947.0,278.0,276.0,394.0,88.0,8.0,7.0,175.0,202.0,41.0,15.0,,,,,,,,,,,,,,,,,,,,,,,755.0,889.0,908.0,271.0,9.0,38.0,552.0,683.0,113.0,54.0
3568,6001401800,California,Alameda County,1,1703,637,0,1.0,0.06,1,1,1,1,1,1,21.2,65987.0,1,1,1,1,1,0,0,1,1383.0,1703.0,1383.0,653.0,743.0,653.0,1703.0,743.0,301.0,993.0,53.0,7.0,11.0,338.0,329.0,222.0,153.0,1383.0,653.0,222.0,821.0,52.0,7.0,7.0,274.0,269.0,206.0,126.0,,,,,,,,,,,,,,,,,,,,,,,777.0,301.0,993.0,53.0,7.0,11.0,338.0,329.0,253.0,171.0
3569,6001402200,California,Alameda County,1,2385,849,0,15.0,0.63,1,1,1,1,1,1,27.1,41250.0,1,1,1,1,1,0,0,1,1806.0,2385.0,1806.0,779.0,1094.0,779.0,2385.0,1094.0,553.0,896.0,283.0,2.0,15.0,636.0,720.0,176.0,165.0,1806.0,779.0,442.0,640.0,217.0,2.0,12.0,494.0,580.0,111.0,120.0,,,,,,,,,,,,,,,,,,,,,,,1275.0,553.0,896.0,283.0,2.0,15.0,636.0,720.0,179.0,166.0
3570,6001402400,California,Alameda County,1,2351,1028,0,22.0,0.94,0,1,0,1,1,1,11.8,41016.0,0,1,0,1,0,0,0,1,,1361.0,,,556.0,,1361.0,556.0,155.0,812.0,244.0,6.0,9.0,135.0,78.0,234.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.0,366.0,1371.0,329.0,6.0,12.0,267.0,220.0,362.0,97.0
3571,6001402500,California,Alameda County,1,1784,673,0,2.0,0.11,0,1,0,1,1,1,40.2,19485.0,0,1,0,1,0,0,0,1,0.0,1784.0,0.0,0.0,1089.0,0.0,1784.0,1089.0,156.0,1201.0,297.0,0.0,10.0,120.0,81.0,356.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1140.0,156.0,1201.0,297.0,0.0,10.0,120.0,81.0,382.0,294.0
3572,6001402600,California,Alameda County,1,1151,618,0,3.0,0.26,0,1,0,1,1,1,43.0,23516.0,0,1,0,1,0,0,0,1,,932.0,,,641.0,,932.0,641.0,119.0,334.0,414.0,4.0,3.0,58.0,59.0,228.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0,145.0,346.0,581.0,4.0,4.0,71.0,66.0,264.0,78.0
3573,6001402700,California,Alameda County,1,1569,604,0,5.0,0.32,0,0,0,0,0,1,23.4,101563.0,0,0,0,0,0,0,0,0,,399.0,,,146.0,,399.0,146.0,49.0,255.0,34.0,0.0,2.0,59.0,57.0,24.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.0,292.0,894.0,163.0,0.0,8.0,212.0,243.0,163.0,94.0
3574,6001402800,California,Alameda County,1,3345,2025,0,311.0,9.3,0,0,0,0,0,1,29.3,97500.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.0,891.0,1395.0,714.0,14.0,26.0,305.0,276.0,1225.0,291.0
3575,6001402900,California,Alameda County,1,1434,921,0,80.0,5.58,0,0,0,0,0,1,24.8,19122.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,395.0,295.0,623.0,4.0,5.0,112.0,137.0,509.0,72.0
3576,6001403000,California,Alameda County,1,2788,1500,0,92.0,3.3,0,0,0,0,0,1,30.0,29375.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.0,130.0,126.0,2472.0,1.0,4.0,55.0,36.0,693.0,186.0
3577,6001403100,California,Alameda County,1,2238,701,0,985.0,44.01,0,0,0,0,0,1,38.2,,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,560.0,687.0,756.0,5.0,5.0,225.0,321.0,173.0,68.0
3578,6001403300,California,Alameda County,1,4054,2054,0,47.0,1.16,0,0,0,0,0,1,29.2,36964.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.0,1143.0,471.0,2194.0,5.0,10.0,231.0,242.0,786.0,163.0
3579,6001403400,California,Alameda County,1,4146,2713,0,31.0,0.75,0,0,0,0,0,1,11.0,61277.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.0,1521.0,844.0,1352.0,13.0,17.0,399.0,387.0,984.0,126.0
3580,6001403501,California,Alameda County,1,4374,2547,0,33.0,0.75,0,0,0,0,0,1,16.7,49453.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,1560.0,1252.0,1044.0,12.0,23.0,483.0,440.0,903.0,98.0
3581,6001403502,California,Alameda County,1,1991,1171,0,18.0,0.9,0,0,0,0,0,1,9.9,81630.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,978.0,540.0,217.0,3.0,13.0,240.0,242.0,203.0,29.0
3582,6001403600,California,Alameda County,1,4482,2542,0,163.0,3.64,0,0,0,0,0,1,5.5,68909.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.0,1707.0,1724.0,559.0,7.0,17.0,468.0,436.0,275.0,132.0
3583,6001403701,California,Alameda County,1,2587,1686,0,54.0,2.09,0,0,0,0,0,0,11.1,111250.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0,1396.0,560.0,360.0,1.0,15.0,255.0,236.0,428.0,9.0
3584,6001403702,California,Alameda County,1,1724,1093,0,0.0,0.0,0,0,0,0,0,0,7.6,132337.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,1040.0,318.0,173.0,5.0,13.0,175.0,149.0,190.0,81.0
3585,6001403800,California,Alameda County,1,3461,1858,0,16.0,0.46,0,0,0,0,0,0,5.1,171125.0,0,1,0,1,0,0,0,0,,547.0,,,39.0,,547.0,39.0,408.0,42.0,55.0,3.0,0.0,40.0,31.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,2315.0,339.0,470.0,3.0,12.0,322.0,290.0,118.0,10.0
3586,6001403900,California,Alameda County,1,3584,2087,0,35.0,0.98,0,0,0,0,0,0,9.8,111071.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,2137.0,595.0,485.0,8.0,24.0,335.0,323.0,95.0,31.0
3587,6001404000,California,Alameda County,1,2819,1702,0,0.0,0.0,0,0,0,0,0,0,7.1,106250.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,1796.0,416.0,329.0,5.0,10.0,263.0,304.0,102.0,50.0
3588,6001404101,California,Alameda County,1,2929,1644,0,6.0,0.2,0,0,0,0,0,0,6.9,146515.0,0,0,0,0,0,0,0,0,,1.0,,,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,2140.0,185.0,342.0,5.0,5.0,252.0,274.0,333.0,31.0
3589,6001404102,California,Alameda County,1,2283,1544,0,127.0,5.56,0,0,0,0,0,0,9.1,152708.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0,1621.0,186.0,306.0,4.0,7.0,159.0,149.0,425.0,20.0
3590,6001404200,California,Alameda County,1,3483,1367,0,158.0,4.54,0,0,0,0,0,0,3.2,228864.0,0,1,0,1,0,0,0,0,,2052.0,,,145.0,,2052.0,145.0,1609.0,88.0,226.0,1.0,6.0,122.0,100.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,2656.0,178.0,405.0,2.0,15.0,227.0,187.0,27.0,8.0
3591,6001404300,California,Alameda County,1,3218,1337,0,3.0,0.09,0,0,0,0,0,0,1.5,221713.0,0,0,0,0,0,0,0,0,,316.0,,,5.0,,316.0,5.0,212.0,27.0,58.0,0.0,0.0,18.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2467.0,144.0,379.0,0.0,10.0,218.0,170.0,29.0,0.0
3592,6001404400,California,Alameda County,1,5314,2279,0,0.0,0.0,0,0,0,0,0,0,6.2,201203.0,1,1,1,1,1,0,0,0,1934.0,4995.0,1934.0,187.0,499.0,187.0,4995.0,499.0,3539.0,251.0,805.0,7.0,13.0,380.0,333.0,46.0,12.0,1934.0,187.0,1276.0,135.0,374.0,4.0,3.0,143.0,134.0,27.0,5.0,,,,,,,,,,,,,,,,,,,,,,,551.0,3788.0,261.0,832.0,7.0,14.0,412.0,355.0,46.0,13.0
3593,6001404501,California,Alameda County,1,1677,688,0,0.0,0.0,0,0,0,0,0,0,1.9,237868.0,0,0,0,0,0,0,0,0,,355.0,,,14.0,,355.0,14.0,261.0,20.0,43.0,0.0,0.0,30.0,24.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,1278.0,73.0,198.0,1.0,1.0,126.0,97.0,4.0,3.0
3594,6001404502,California,Alameda County,1,5784,2443,0,6.0,0.1,0,0,0,0,0,0,0.3,190313.0,1,1,1,1,1,0,0,0,739.0,3470.0,739.0,5.0,38.0,5.0,3470.0,38.0,2624.0,259.0,288.0,2.0,12.0,286.0,208.0,59.0,10.0,739.0,5.0,525.0,79.0,72.0,1.0,1.0,62.0,42.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,64.0,4368.0,370.0,559.0,6.0,22.0,459.0,347.0,57.0,17.0
3595,6001404600,California,Alameda County,1,4353,1800,0,0.0,0.0,0,0,0,0,0,0,3.3,189258.0,1,1,1,1,1,0,0,0,1540.0,4149.0,1540.0,165.0,414.0,165.0,4149.0,414.0,3178.0,256.0,427.0,7.0,5.0,277.0,228.0,24.0,19.0,1540.0,165.0,1190.0,95.0,165.0,1.0,1.0,89.0,85.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,470.0,3326.0,261.0,450.0,7.0,6.0,303.0,239.0,24.0,20.0
3596,6001404700,California,Alameda County,1,1954,810,0,1.0,0.05,0,0,0,0,0,0,2.8,197552.0,0,1,0,1,0,0,0,0,,1919.0,,,77.0,,1919.0,77.0,1445.0,155.0,184.0,0.0,6.0,129.0,115.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,1473.0,159.0,186.0,0.0,6.0,130.0,117.0,6.0,7.0
3597,6001404800,California,Alameda County,1,2684,1216,0,2.0,0.07,0,0,0,0,0,0,8.0,109559.0,0,1,0,1,0,0,0,0,,836.0,,,187.0,,836.0,187.0,578.0,85.0,93.0,9.0,6.0,65.0,66.0,39.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,1340.0,549.0,460.0,10.0,30.0,295.0,308.0,128.0,71.0
3598,6001404900,California,Alameda County,1,4129,1885,0,0.0,0.0,0,0,0,0,0,0,4.7,143947.0,0,1,0,1,0,0,0,0,,805.0,,,75.0,,805.0,75.0,510.0,79.0,141.0,2.0,0.0,73.0,80.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,2419.0,481.0,827.0,5.0,15.0,382.0,399.0,168.0,0.0
3599,6001405000,California,Alameda County,1,3136,1458,0,2.0,0.06,0,0,0,0,0,0,5.3,179662.0,0,1,0,1,0,0,0,0,,2834.0,,,293.0,,2834.0,293.0,2008.0,258.0,336.0,1.0,10.0,221.0,201.0,92.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,2185.0,307.0,381.0,1.0,10.0,252.0,229.0,99.0,51.0
3600,6001405100,California,Alameda County,1,4197,1579,0,0.0,0.0,0,0,0,0,0,0,2.5,232279.0,0,1,0,1,0,0,0,0,,3308.0,,,136.0,,3308.0,136.0,2379.0,377.0,312.0,3.0,5.0,232.0,182.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,2983.0,508.0,392.0,7.0,6.0,301.0,226.0,18.0,0.0
3601,6001405200,California,Alameda County,1,4597,2398,0,12.0,0.26,0,0,0,0,0,0,6.4,108452.0,0,0,0,0,0,0,0,0,,21.0,,,6.0,,21.0,6.0,9.0,4.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.0,1940.0,724.0,1431.0,16.0,20.0,466.0,434.0,174.0,123.0
3602,6001405301,California,Alameda County,1,2603,1477,0,1.0,0.04,0,0,0,0,0,1,12.3,67241.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,1205.0,625.0,384.0,4.0,19.0,366.0,369.0,223.0,58.0
3603,6001405302,California,Alameda County,1,2530,1406,0,0.0,0.0,0,0,0,0,0,1,16.0,49375.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,711.0,507.0,961.0,5.0,16.0,330.0,370.0,448.0,111.0
3604,6001405401,California,Alameda County,1,3957,1570,0,32.0,0.81,0,0,0,0,0,1,18.3,53527.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.0,674.0,800.0,1748.0,15.0,38.0,682.0,829.0,370.0,238.0
3605,6001405402,California,Alameda County,1,3114,1098,0,94.0,3.02,0,0,0,0,0,1,22.0,42098.0,0,0,0,0,0,0,0,0,,124.0,,,62.0,,124.0,62.0,20.0,67.0,17.0,0.0,0.0,20.0,26.0,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712.0,416.0,734.0,1430.0,4.0,11.0,519.0,615.0,318.0,231.0
3606,6001405500,California,Alameda County,1,3643,1485,0,14.0,0.38,0,1,0,1,1,1,15.7,72500.0,0,1,0,1,0,0,0,1,,2394.0,,,674.0,,2394.0,674.0,373.0,514.0,1195.0,7.0,9.0,296.0,244.0,117.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.0,652.0,763.0,1718.0,9.0,17.0,484.0,449.0,202.0,165.0
3607,6001405600,California,Alameda County,1,3137,1353,0,0.0,0.0,0,1,0,1,1,1,9.5,74766.0,0,1,0,1,0,0,0,1,,3095.0,,,885.0,,3095.0,885.0,769.0,719.0,1185.0,3.0,17.0,401.0,406.0,171.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,778.0,725.0,1208.0,3.0,17.0,406.0,410.0,176.0,97.0
3608,6001405700,California,Alameda County,1,3243,1279,0,15.0,0.46,0,1,0,1,1,1,26.7,56641.0,0,1,0,1,0,0,0,1,,2991.0,,,1294.0,,2991.0,1294.0,439.0,993.0,1064.0,9.0,18.0,468.0,524.0,171.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.0,475.0,1077.0,1162.0,10.0,19.0,500.0,559.0,185.0,154.0
3609,6001405800,California,Alameda County,1,3965,1223,0,0.0,0.0,0,1,0,1,1,1,25.2,46815.0,0,1,0,1,0,0,0,1,,3965.0,,,1991.0,,3965.0,1991.0,412.0,793.0,2110.0,21.0,27.0,602.0,729.0,167.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318.0,412.0,793.0,2110.0,21.0,27.0,602.0,729.0,186.0,352.0
3610,6001405901,California,Alameda County,1,3910,1064,0,29.0,0.74,0,1,0,1,1,1,37.6,34662.0,0,1,0,1,0,0,0,1,,3558.0,,,2390.0,,3558.0,2390.0,570.0,494.0,1439.0,47.0,33.0,975.0,1397.0,185.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954.0,633.0,550.0,1548.0,48.0,43.0,1088.0,1564.0,196.0,274.0
3611,6001405902,California,Alameda County,1,3035,891,0,5.0,0.16,0,1,0,0,0,1,28.9,44583.0,0,1,0,1,0,0,0,0,,1717.0,,,923.0,,1717.0,923.0,205.0,299.0,934.0,3.0,7.0,268.0,348.0,99.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,422.0,444.0,1643.0,3.0,25.0,498.0,704.0,211.0,167.0
3612,6001406000,California,Alameda County,1,3450,1519,0,6.0,0.17,0,0,0,0,0,1,32.8,37614.0,0,0,0,0,0,0,0,0,,126.0,,,70.0,,126.0,70.0,82.0,12.0,15.0,0.0,3.0,14.0,16.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.0,752.0,447.0,1623.0,8.0,27.0,593.0,734.0,344.0,160.0
3613,6001406100,California,Alameda County,1,4381,1462,0,44.0,1.0,0,0,0,0,0,1,25.9,46452.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,1598.0,499.0,540.0,19.0,56.0,1669.0,2529.0,164.0,244.0
3614,6001406201,California,Alameda County,1,4649,1300,0,47.0,1.01,0,1,0,0,0,1,27.0,42984.0,0,1,0,1,0,0,0,0,,1085.0,,,563.0,,1085.0,563.0,138.0,258.0,429.0,14.0,6.0,239.0,354.0,76.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2671.0,783.0,769.0,1409.0,27.0,68.0,1593.0,2285.0,397.0,377.0
3615,6001406202,California,Alameda County,1,4718,1294,0,231.0,4.9,0,0,0,0,0,1,37.1,37917.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730.0,1195.0,599.0,675.0,20.0,143.0,2086.0,3092.0,263.0,339.0
